nama_produk,harga_produk,penjual,kota_toko,banyak_terjual,rating_produk
1 Kg Kerupuk Seblak Kencur Bantet Pedas Nikmat Harga Camilan Grosir Snack Viral,7400,Grosir Jaya Snack,Surabaya,9,3.8
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,15000,ajs(ale jaya snack),Jakarta Utara,40,4.9
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK,4500,BociKakang,Jakarta Selatan,30,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,3000,4.9
Kerupuk seblak kering pedas daun jeruk 1kg krupuk seblak bantet pedas,15760,camilanqu_shop,Kab. Majalengka,9,5.0
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",23000,anugrah seblak,Kab. Bandung,250,4.7
Kerupuk Seblak BANTET Pedas /Seblak Pelangi  - 1/4 kg,15840,Golden Cakery,Jakarta Pusat,100,4.8
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500,CUANKI CULAMETAN,Kab. Garut,750,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000,DUO BOCIL SNACK,Depok,250,4.9
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,19110,Foodstocks,Jakarta Selatan,250,5.0
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,64906,Lakoca Official Shop,Cimahi,30,4.9
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,85000,Lidigeli,Kab. Garut,60,4.7
siomay mini kering 1kg toping seblak baso aci,24999,CUANKI CULAMETAN,Kab. Garut,250,4.9
Kylafood Seblak Original Play,19125,kylafood,Bandung,1000,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41000,JAGO TOK PETOK,Surabaya,100,4.9
Krupuk seblak mawar rafael pedas 500gr,23500,Markas Makaroni,Kab. Bekasi,250,4.9
Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,33000,Kerabat Official Store,Kab. Tasikmalaya,250,4.9
SamiRaos Baso Aci Geprek Tulang Rangu Seblak Baso Urat Yamin Noodle,23950,a grow exia (store),Kab. Bantul,40,5.0
Kerupuk Seblak Mini Pedas Daun Jeruk 1Kg,32000,KISH COLLECTION,Kab. Banyuwangi,14,5.0
cuanki tahu gepeng isi 50 pcs toping seblak baso aci,19500,CUANKI CULAMETAN,Kab. Garut,100,5.0
Paket Isi 6 Makaroni Basah Instan | Seblak Basah Instan,93840,Lakoca Official Shop,Cimahi,15,4.8
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,13999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Kylafood Seblak Rempah Autentik isi (5pcs),61275,kylafood,Bandung,250,4.8
Kerupuk Seblak Beton Pedas Gurih 1 kg,75000,YasnackID,Bandung,12,5.0
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,33000,Pedas Gilaa,Surabaya,750,4.9
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,40000,Beauty DELUXE,Jakarta Barat,30,4.9
seblak instant sajodo snak,18950,hikmah berkah jaya,Jakarta Barat,1000,4.9
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,21500,dariimyu,Kab. Indramayu,500,4.9
kerupuk seblak mawar pedas daun jeruk,7999,uus shop 02,Surabaya,60,4.9
BASO ACI HOMEMADE boci isi 6 baso aci tulang rangu seblak Boci sehot,3800,NomeL Shop,Surabaya,100,4.4
krupuk seblak hah pedas gurih 500gr,26500,Markas Makaroni,Kab. Bekasi,1000,4.9
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,41579,Mama Fuji Official,Tangerang,100,4.8
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 500 gr,13999,Distributor Cuanki dan Seblak,Kab. Bekasi,250,4.9
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,28500,Pasar Keripik Bandung,Bandung,30,4.9
Kylafood Seblak karuhun,11475,kylafood,Bandung,4000,4.8
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250,4.8
cuanki lidah isi 50 topping baso aci dan seblak,11999,Culametan Food,Kab. Garut,60,4.9
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Baso Aci & Seblak Home Made,5500,Rodhi snack,Kediri,60,5.0
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630,Toko kue Sumber Mas,Jakarta Timur,100,5.0
MAKARONI bantet 70gr krupuk SEBLAK bantet krupuk UDANG KERUPUK BANTET,2600,MelaBoci,Surabaya,60,5.0
Kerupuk Seblak Tatangga Mamang Rafael Pedas Kencur Daun Jeruk 500gr,29511,Cemilan Kang Asep,Kab. Bandung,40,5.0
kerupuk seblak Beton Pedas,85000,Markas Makaroni,Kab. Bekasi,40,4.9
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,29000,fahirastores,Kab. Bandung Barat,250,4.9
Kylafood Seblak Original Play,19125,kylafood,Bandung,1000,4.9
Kerupuk Seblak Kering Sebring Pedas Daun Jeruk 100gr,4500,Pedas Gilaa,Surabaya,500,4.9
Kerupuk mawar putih mentah 1ball (5kg)/kerupuk seblak viral rafael,118000,Semesta kerupuk,Tangerang Selatan,60,5.0
kerupuk bubur/ seblak / gado- gado/ ketoprak 500gr,18000,Taufik Bumbu Giling,Jakarta Selatan,250,4.9
Seblak Mommy,14700,Gerai Snack Official Shop,Kab. Tangerang,2000,4.6
cuanki tahu kering seblak atau batagor kering isi 150 pcs,32999,CUANKI CULAMETAN,Kab. Garut,250,4.8
Kylafood Seblak Mie Baso Sapi Play,23375,kylafood,Bandung,250,4.9
Kylafood Seblak Rempah Autentik isi (10pcs),116100,kylafood,Bandung,100,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,21750,SuperSnacksShop,Kab. Bandung,250,4.9
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29000,Pedas Gilaa,Surabaya,1000,4.9
Kerupuk Kering 1KG Bahan Seblak Variasi Lengkap by GG,20999,gaiagarut,Kab. Garut,15,5.0
